No,FIFA_Rank,Player,Abbr,Country,Confederation,Pos,Passes_Att,Passes_Cmp,Cmp_pct
199,361,Jamal Musiala,GER,Germany,UEFA,MF,104,86,82.69
200,361,Rayan Cherki,FRA,France,UEFA,MF,104,89,85.58
201,361,Andreas Schjelderup,NOR,Norway,UEFA,MF,104,89,85.58
202,361,Ivan Basic,BIH,Bosnia and Herzegovina,UEFA,MF,104,96,92.31
203,369,Juan Manuel Sanabria,URU,Uruguay,CONMEBOL,MF,103,89,86.41
204,372,Ivan Sunjic,BIH,Bosnia and Herzegovina,UEFA,MF,102,88,86.27
205,372,Tomas Araujo,POR,Portugal,UEFA,DF,102,98,96.08
206,376,Diego Gomez,PAR,Paraguay,CONMEBOL,MF,101,80,79.21
207,376,Mikel Merino,ESP,Spain,UEFA,MF,101,89,88.12
208,376,Grant Hanley,SCO,Scotland,UEFA,DF,101,94,93.07
209,376,Bukayo Saka,ENG,England,UEFA,FW,101,81,80.2
210,381,Cody Gakpo,NED,Netherlands,UEFA,FW,100,79,79.0
211,381,Gonzalo Montiel,ARG,Argentina,CONMEBOL,DF,100,81,81.0
212,383,Rayan,BRA,Brazil,CONMEBOL,FW,99,93,93.94
213,383,Cristiano Ronaldo,POR,Portugal,UEFA,FW,99,86,86.87
214,383,Leo Ostigard,NOR,Norway,UEFA,DF,99,84,84.85
215,383,Harry Kane,ENG,England,UEFA,FW,99,73,73.74
216,383,Amar Dedic,BIH,Bosnia and Herzegovina,UEFA,DF,99,80,80.81
217,392,Ugurcan Cakir,TUR,Türkiye,UEFA,GK,98,77,78.57
218,396,Omar Alderete,PAR,Paraguay,CONMEBOL,DF,97,70,72.16
219,396,Eberechi Eze,ENG,England,UEFA,MF,97,89,91.75
220,396,Djibril Sow,SUI,Switzerland,UEFA,MF,97,83,85.57
221,396,Matej Kovar,CZE,Czechia,UEFA,GK,97,62,63.92
222,403,Scott Mctominay,SCO,Scotland,UEFA,MF,96,87,90.62
223,408,Exequiel Palacios,ARG,Argentina,CONMEBOL,MF,94,89,94.68
224,408,Noni Madueke,ENG,England,UEFA,FW,94,82,87.23
225,411,Martin Baturina,CRO,Croatia,UEFA,MF,93,80,86.02
226,420,Dan Ndoye,SUI,Switzerland,UEFA,FW,92,73,79.35
227,422,Romano Schmid,AUT,Austria,UEFA,MF,91,65,71.43
228,422,Charles De Ketelaere,BEL,Belgium,UEFA,FW,91,72,79.12
229,422,Nelson Semedo,POR,Portugal,UEFA,DF,91,84,92.31
230,422,Gustavo Gomez,PAR,Paraguay,CONMEBOL,DF,91,80,87.91
231,427,Matheus Cunha,BRA,Brazil,CONMEBOL,FW,90,78,86.67
