No,Player,Country,Confederation,Pos,Pos_main,90s,TklW,TklW_90
192,Julian Ryerson,Norway,UEFA,DF,DF,2.5,8,3.2
193,Marcel Sabitzer,Austria,UEFA,MF,MF,4.0,2,0.5
194,Michal Sadílek,Czechia,UEFA,MF,MF,2.0,2,1.0
195,Bukayo Saka,England,UEFA,MF,MF,4.0,7,1.75
196,William Saliba,France,UEFA,DF,DF,5.3,0,0.0
197,Davinson Sánchez,Colombia,CONMEBOL,DF,DF,5.3,2,0.377
198,Leroy Sané,Germany,UEFA,MF,MF,3.6,3,0.833
199,Douglas Santos,Brazil,CONMEBOL,DF,DF,4.9,10,2.041
200,Patrik Schick,Czechia,UEFA,FW,FW,2.0,0,0.0
201,Andreas Schjelderup,Norway,UEFA,FW,FW,2.8,3,1.071
202,Xaver Schlager,Austria,UEFA,MF,MF,2.6,3,1.154
203,Romano Schmid,Austria,UEFA,MFFW,MF,2.9,4,1.379
204,Nicolas Seiwald,Austria,UEFA,MF,MF,3.5,5,1.429
205,Giuliano Simeone,Argentina,CONMEBOL,FW,FW,2.1,3,1.429
206,Djibril Sow,Switzerland,UEFA,MF,MF,2.8,1,0.357
207,Djed Spence,England,UEFA,DF,DF,4.5,10,2.222
208,Josip Stanišić,Croatia,UEFA,DFMF,DF,4.0,2,0.5
209,John Stones,England,UEFA,DF,DF,3.7,0,0.0
210,Luis Suárez,Colombia,CONMEBOL,FW,FW,3.7,4,1.081
211,Petar Sučić,Croatia,UEFA,MFFW,MF,3.2,2,0.625
212,Pavel Šulc,Czechia,UEFA,FW,FW,2.1,2,0.952
213,Crysencio Summerville,Netherlands,UEFA,FW,FW,2.8,2,0.714
214,Ivan Šunjić,Bosnia–Herz,UEFA,MF,MF,2.2,3,1.364
215,Josip Šutalo,Croatia,UEFA,DF,DF,4.0,4,1.0
216,Alexander Sørloth,Norway,UEFA,FW,FW,3.7,1,0.27
217,Nicolás Tagliafico,Argentina,CONMEBOL,DF,DF,5.3,4,0.755
218,Jonathan Tah,Germany,UEFA,DF,DF,4.1,3,0.732
219,Benjamin Tahirovic,Bosnia–Herz,UEFA,MF,MF,2.6,4,1.538
220,Aurélien Tchouaméni,France,UEFA,MF,MF,4.0,14,3.5
221,Arthur Theate,Belgium,UEFA,DF,DF,2.5,0,0.0
222,Youri Tielemans,Belgium,UEFA,MF,MF,5.3,6,1.132
223,Ferran Torres,Spain,UEFA,FW,FW,3.2,0,0.0
224,Leandro Trossard,Belgium,UEFA,MFFW,MF,5.6,1,0.179
225,Manuel Ugarte,Uruguay,CONMEBOL,MF,MF,2.0,1,0.5
226,Dayot Upamecano,France,UEFA,DF,DF,7.3,12,1.644
227,Enner Valencia,Ecuador,CONMEBOL,FW,FW,3.2,1,0.312
228,Federico Valverde,Uruguay,CONMEBOL,MF,MF,2.6,2,0.769
229,Virgil van Dijk,Netherlands,UEFA,DF,DF,4.3,1,0.233
230,Hans Vanaken,Belgium,UEFA,MF,MF,3.5,1,0.286
231,Guillermo Varela,Uruguay,CONMEBOL,DF,DF,3.0,1,0.333
232,Ruben Vargas,Switzerland,UEFA,MF,MF,3.2,2,0.625
233,Renato Veiga,Portugal,UEFA,DF,DF,5.0,1,0.2
234,Gustavo Velásquez,Paraguay,CONMEBOL,DF,DF,2.7,1,0.37
235,Micky van de Ven,Netherlands,UEFA,DFMF,DF,2.9,3,1.034
236,Federico Viñas,Uruguay,CONMEBOL,FW,FW,2.1,2,0.952
237,Pedro Vite,Ecuador,CONMEBOL,MF,MF,4.0,11,2.75
238,Vitinha,Portugal,UEFA,MF,MF,4.2,0,0.0
239,Nikola Vlašić,Croatia,UEFA,MF,MF,2.1,2,0.952
240,Paul Wanner,Austria,UEFA,MF,MF,2.6,1,0.385
241,Florian Wirtz,Germany,UEFA,MF,MF,4.0,6,1.5
242,Granit Xhaka,Switzerland,UEFA,MF,MF,6.7,4,0.597
243,Lamine Yamal,Spain,UEFA,MFFW,MF,6.8,9,1.324
244,John Yeboah,Ecuador,CONMEBOL,MF,MF,3.5,3,0.857
245,Kenan Yıldız,Türkiye,UEFA,MF,MF,2.4,2,0.833
246,Denis Zakaria,Switzerland,UEFA,DF,DF,4.0,5,1.25
247,Martin Ødegaard,Norway,UEFA,MF,MF,5.2,4,0.769
